feature,importance,rank,selected
fr_tetrazole,0.0,102,False
fr_thiocyan,0.0,136,False
fr_thiophene,0.0,94,False
SlogP_VSA7,0.0,62,False
fr_urea,0.0,136,False
fr_morpholine,0.0,112,False
fr_lactam,0.0,136,False
fr_C_O,0.0,88,False
fr_Nhpyrrole,0.0,1,True
fr_SH,0.0,136,False
fr_aldehyde,0.0,136,False
fr_alkyl_carbamate,0.0,136,False
fr_allylic_oxid,0.0,70,False
fr_amide,0.0,74,False
NOCount,0.0,1,True
fr_N_O,0.0,112,False
fr_aryl_methyl,0.0,84,False
fr_azide,0.0,136,False
fr_azo,0.0,112,False
fr_barbitur,0.0,136,False
fr_benzodiazepine,0.0,112,False
fr_diazo,0.0,136,False
fr_dihydropyridine,0.0,136,False
fr_epoxide,0.0,136,False
MaxEStateIndex,0.0,1,True
NumAromaticCarbocycles,0.0,96,False
fr_furan,0.0,136,False
fr_Imine,0.0,112,False
fr_halogen,0.0,112,False
HeavyAtomCount,0.0,76,False
fr_HOCCN,0.0,136,False
NumBridgeheadAtoms,0.0,112,False
fr_isocyan,0.0,136,False
fr_isothiocyan,0.0,136,False
NumRadicalElectrons,0.0,136,False
fr_ketone_Topliss,0.0,80,False
SlogP_VSA9,0.0,136,False
