feature,importance,rank,selected
ATSC4d,0.0020552108,98,False
SlogP_VSA10,0.002054309,483,False
ATS3m,0.0020445003,386,False
GGI9,0.0020397555,164,False
PEOE_VSA5,0.0020364998,474,False
ATS1s,0.0020337019,320,False
ATS6p,0.0020320315,158,False
AATS2Z,0.002030127,104,False
TIC4,0.0020290783,513,False
SdssC,0.0020197898,116,False
n5ARing,0.0020146447,588,False
Xc-3dv,0.0019983356,80,False
GATS1s,0.0019873637,216,False
MIC4,0.0019773804,436,False
GATS2se,0.0019666345,130,False
Xch-6dv,0.001956755,90,False
piPC4,0.0019529136,102,False
SMR_VSA1,0.0019501705,336,False
ATSC1se,0.0019497733,172,False
ATS4s,0.0019438347,355,False
MATS2Z,0.0019423093,162,False
nBondsD,0.0019379725,339,False
n6aHRing,0.0019323241,547,False
AATS1i,0.0019296923,65,False
ATSC7m,0.001926034,2,False
GATS2d,0.0019256357,41,False
GGI4,0.0019218638,344,False
SlogP_VSA5,0.0019202725,46,False
VSA_EState8,0.0019170251,176,False
ATSC8d,0.0019084596,225,False
nO,0.0019050651,189,False
MATS2s,0.0018943046,40,False
AATSC1are,0.0018923853,49,False
ATSC3se,0.0018814907,290,False
AXp-1d,0.0018811756,212,False
SsCH3,0.0018790684,49,False
Xch-6d,0.0018781318,68,False
GATS2i,0.001873067,2,False
nFaRing,0.001869758,719,False
ATSC3p,0.0018625013,109,False
ATS7i,0.001858169,260,False
GATS2s,0.0018466268,73,False
ATSC3Z,0.0018399353,168,False
BIC3,0.0018296022,117,False
AATSC0p,0.001820624,10,False
BIC1,0.0018183768,237,False
piPC10,0.0018137549,229,False
ATSC8s,0.0018132878,290,False
VSA_EState2,0.0018094237,155,False
ATS4p,0.0018065618,69,False
AATS0v,0.0018001276,20,False
SdS,0.0017895299,607,False
MATS2i,0.0017885265,280,False
GATS1i,0.001773943,96,False
ZMIC4,0.0017693996,240,False
VSA_EState3,0.0017691485,436,False
ATSC1Z,0.0017658253,15,False
MATS1p,0.0017650746,16,False
SMR_VSA3,0.0017393919,235,False
n6HRing,0.001738287,719,False
AXp-2d,0.001733392,126,False
GGI8,0.0017207621,334,False
AATS1are,0.0017166567,118,False
SMR_VSA4,0.0017072186,164,False
GATS1dv,0.0017062061,124,False
EState_VSA10,0.0017048165,432,False
SRW09,0.0016959494,523,False
SsssN,0.0016867986,152,False
PEOE_VSA7,0.0016822702,19,False
NssCH2,0.0016716996,423,False
BalabanJ,0.0016700866,115,False
ATSC6d,0.0016683143,63,False
SaaS,0.0016597023,448,False
AATS2p,0.0016594621,83,False
GATS1se,0.0016545489,204,False
C1SP3,0.0016444111,529,False
ATSC8are,0.0016404144,270,False
AATS2d,0.0016384436,238,False
NaasC,0.001636601,420,False
ATSC6se,0.0016190942,208,False
NdO,0.0016027942,554,False
AATS0i,0.001598946,146,False
AXp-0d,0.0015946109,398,False
SaasN,0.0015887707,93,False
NssS,0.0015852532,607,False
bpol,0.001581905,36,False
AATSC2Z,0.0015715935,3,False
MIC3,0.0015694565,319,False
ATSC2are,0.0015600254,265,False
JGI9,0.0015467997,413,False
ATS3se,0.0015453207,74,False
HybRatio,0.0015438468,349,False
